node1,node2
812,4866
812,5816
812,5905
813,1544
813,3773
814,4974
815,2784
816,2491
819,4228
820,3361
821,1255
822,3802
822,4340
822,5989
822,6391
823,4437
824,2785
824,4540
824,5702
825,720
825,1559
825,3789
825,5967
826,4946
827,1625
828,613
830,149
830,2784
831,1069
831,3241
831,3767
832,5546
833,1699
834,898
835,4094
836,1398
837,4768
837,5467
838,1065
839,1733
840,4031
841,5553
843,4478
844,42
844,3408
845,1544
846,751
846,1618
846,3511
846,4201
846,5177
847,5189
847,6021
847,6313
848,103
848,4626
849,92
850,664
850,974
850,1589
851,1072
851,1077
851,1103
851,1184
851,1329
851,1790
851,2401
851,3289
851,3706
851,4573
852,451
852,568
852,2655
852,3973
852,5412
852,6043
852,6376
853,4058
854,2340
855,5553
856,1255
857,236
857,3726
858,1261
859,6333
860,1332
860,3262
861,6397
862,3917
863,5673
864,2182
864,2596
864,4278
865,4967
865,5962
866,2784
867,6439
868,3381
868,4052
868,5313
868,5621
869,2387
870,4757
871,934
872,44
872,266
872,498
872,526
872,580
872,613
872,677
872,804
872,1308
872,1460
872,1480
872,1812
872,1858
872,2055
872,2103
872,2108
872,2194
872,2202
872,2252
872,2372
872,2387
872,3008
872,3109
872,3208
872,3484
872,3541
872,3807
872,4122
872,4162
872,4553
872,4615
872,4776
872,4819
872,5017
872,5033
872,5074
872,5090
872,5107
872,5387
872,5546
872,5923
872,6051
872,6290
872,6356
872,6434
872,6450
873,4389
874,898
875,2965
876,5615
877,742
878,2576
879,6438
880,1088
880,3737
881,755
882,186
882,652
882,1467
882,2140
882,3221
882,3414
882,3810
882,3968
882,4242
882,4971
882,5033
882,6000
884,258
884,1855
885,1011
886,1392
886,3020
886,3638
886,4276
886,6078
887,2468
888,515
888,2099
888,2183
888,2868
888,3275
888,3424
888,3699
888,4669
888,5481
888,5485
888,5679
888,5745
889,567
889,2961
889,3136
889,3529
889,4526
889,4582
889,5349
889,5535
889,5685
890,1997
891,491
891,3956
893,315
894,524
895,138
895,685
895,5363
895,6025
896,5117
897,6073
898,495
898,834
898,874
898,1669
898,2537
898,2994
898,3002
898,3029
898,3180
898,3370
898,3388
898,3720
898,3823
898,3887
898,4049
898,4100
898,4464
898,4814
898,6363
899,319
900,3259
901,347
901,2136
902,3114
902,3205
903,618
904,1226
905,4828
906,1663
906,4970
907,6170
908,683
908,5687
909,2762
909,5250
910,1625
911,445
911,4285
911,4440
911,4441
911,4921
911,5713
911,6253
912,6373
913,3852
914,2784
915,4967
916,1034
916,2023
916,2041
916,5422
917,556
917,1005
917,1892
917,2105
917,3018
917,4042
918,5727
919,4844
920,3176
921,1551
922,226
922,590
923,2598
924,4607
925,213
925,399
925,1055
925,1209
925,1467
925,2119
925,2884
925,3064
925,4617
925,6061
926,1371
927,3044
928,6269
929,385
929,4493
929,5034
930,2188
930,3873
931,2115
931,3750
932,1541
932,2923
933,6338
934,871
934,2945
934,4582
935,3389
936,5730
937,6316
938,6373
939,2104
940,3192
941,6315
942,1255
943,1560
945,3851
946,2713
946,3411
947,1180
947,2729
948,2650
949,383
949,1421
949,2231
949,5406
950,2807
951,792
951,1889
951,3850
951,5313
951,6304
952,1028
952,1734
952,1862
952,3426
953,5762
954,3352
955,7
956,1925
956,4440
958,2063
959,122
959,5136
960,6182
961,3744
961,4233
962,387
962,1001
963,2535
964,5224
965,1768
965,2064
965,2085
965,2437
965,3735
965,4451
966,1699
967,5273
968,5224
969,100
969,6324
970,3261
971,617
972,58
972,2912
972,3491
972,3691
972,3730
972,4508
972,5084
972,5344
972,5468
972,6121
973,122
974,413
974,427
974,850
974,2988
974,5146
975,4
976,1692
976,2136
976,2259
977,2984
977,3154
977,4759
977,5637
978,6349
979,5428
980,4970
982,2300
983,6341
984,276
984,2145
984,3767
984,4962
985,4553
986,769
986,1114
987,1520
988,1334
988,2931
988,3014
989,1039
990,2337
991,6263
992,5879
993,2784
994,4384
995,1609
997,5273
998,5144
999,3913
1000,301
1001,962
1001,1659
1001,1995
1001,3389
1001,4031
1001,4556
1001,4660
1001,5297
1002,201
1004,166
1004,2547
1004,3533
1004,4778
1004,5498
1004,5879
1005,917
1006,3271
1006,3767
1006,4315
1007,6052
1008,3611
1009,2337
1009,2985
1010,5444
1011,885
1011,2270
1011,2348
1011,2739
1011,3930
1012,3244
1013,1190
1014,1114
1015,5219
1016,4658
1016,6264
1017,50
1017,522
1017,772
1017,1326
1017,2283
1017,2584
1017,2836
1017,3669
1017,3788
1017,4262
1017,4322
1017,5802
1017,6276
1018,1148
1018,1309
1018,3421
1018,3806
1018,4273
1018,4525
1018,5015
1018,5249
1018,6423
1019,2042
1019,2894
1019,3024
1019,5388
1019,6376
1020,5313
1021,3259
1022,1598
1023,3803
1023,4253
1023,4859
1023,5187
1023,6026
1024,1353
1025,4408
1025,6224
1026,1120
1027,4179
1028,496
1028,952
1028,2731
1029,3143
1031,5733
1032,3725
1033,4911
1034,132
1034,916
1034,3127
1034,3886
1034,4992
1034,5313
1034,5331
1034,5353
1035,2444
1036,5539
1037,3306
1038,5291
1039,989
1039,4920
1040,1715
1040,4402
1041,4844
1042,5844
1043,1259
1044,4140
1045,789
1046,3750
1047,5313
1048,527
1049,385
1050,5926
1051,5493
1052,4228
1054,1925
1055,925
1056,1470
1056,2424
1057,4800
1058,1973
1059,235
1059,1196
1059,4343
1059,5648
1059,6184
1060,1346
1061,300
1062,1375
1064,6420
1065,838
1065,5762
1066,4384
1067,1908
1067,2072
1067,2249
1067,2557
1067,2602
1067,2809
1067,4902
1067,4963
1067,5589
1068,4828
1069,831
1071,3204
1072,851
1073,4629
1074,4573
1075,5765
1076,613
1076,3321
1077,851
1077,2201
1077,5238
1078,2448
1079,5304
1080,2477
1081,6207
1082,146
1083,4409
1084,4349
1086,1371
1086,4522
1087,2611
1087,5821
1088,185
1088,880
1089,4696
1090,4522
1091,1544
1092,4074
1093,5664
1094,2825
1095,2098
1096,1254
1096,5544
1097,618
1098,1837
1098,4223
1098,5997
1099,1699
1100,2249
1101,1738
1102,4953
1103,851
1104,5553
1105,49
1106,2302
1107,2334
1108,5655
1109,49
1110,280
1110,1432
1110,1869
1110,3250
1110,4026
1110,5906
1111,534
1111,1595
1111,3211
1111,3876
1112,2536
1113,4634
1113,5125
1113,6391
1114,986
1114,1014
1114,1461
1114,2437
1115,293
1115,2111
1116,6154
1117,1837
1118,4384
1119,539
1119,2931
1119,5870
1120,41
1120,1026
1120,1484
1120,2291
1120,2775
1120,4659
1120,5668
1120,5830
1120,6024
1120,6397
1121,2582
1121,4497
1121,4984
1121,5285
1121,5563
1121,5926
1122,1787
1123,1519
1123,1654
1124,5090
1125,3787
1125,6170
1126,304
1127,1670
1128,5673
1129,5427
1130,6010
1131,5244
1131,5264
1132,385
1133,1712
1133,5282
1134,195
1134,359
1134,2289
1135,3547
1136,789
1137,5084
1137,5341
1138,4953
1139,126
1140,1618
1141,1189
1142,4665
1142,6028
1143,1788
1144,1928
1144,5773
1145,6041
1146,1757
1147,4408
1148,1018
1148,6387
1149,555
1150,3649
1151,513
1152,4323
1153,6232
1154,2412
1155,1959
1156,3048
1157,1932
1158,4071
1159,3010
1160,3278
1161,6320
1162,3163
1163,385
1163,1380
1164,7
1167,617
1168,5152
1169,6445
1170,764
1171,1329
1172,2463
1173,333
1173,487
1173,1544
1173,2167
1173,2414
1173,2445
1173,2754
1173,3204
1173,3989
1173,4010
1173,4252
1173,4321
1173,4350
1173,6068
1174,720
1175,5340
1176,2905
1176,3527
1176,5262
1177,4535
1178,5174
1179,295
1179,4362
1180,947
1180,3572
1180,4708
1181,3230
1182,1609
1183,1331
1184,851
1184,2000
1184,2241
1184,4384
1184,5318
1185,2921
1186,2145
1187,179
1187,478
1187,4870
1187,6145
1188,1943
1189,377
1189,1141
1189,1574
1189,2921
1190,1013
1190,1932
1191,640
1192,5340
1193,2126
1193,2150
1193,3067
